num	old_strain	sample	IPTG	time	medium
50	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_0_6_M1	0	6	M1
51	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_0_12_M1	0	12	M1
52	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_0_24_M1	0	24	M1
53	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_I_4p5_M1	I	4.5	M1
54	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_I_6_M1	I	6	M1
55	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_I_12_M1	I	12	M1
56	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_I_24_M1	I	24	M1
57	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_0_4p5_M1	0	4.5	M1
58	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_0_6_M1	0	6	M1
59	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_0_12_M1	0	12	M1
60	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_0_24_M1	0	24	M1
61	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_I_4p5_M1	I	4.5	M1
62	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_I_6_M1	I	6	M1
63	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_I_12_M1	I	12	M1
64	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_I_24_M1	I	24	M1
65	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_0_4p5_M1	0	4.5	M1
66	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_0_6_M1	0	6	M1
67	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_0_12_M1	0	12	M1
68	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_0_24_M1	0	24	M1
69	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_I_4p5_M1	I	4.5	M1
70	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_I_6_M1	I	6	M1
71	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_I_12_M1	I	12	M1
72	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_I_24_M1	I	24	M1
73	277DthrABCDasdDlysA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysA_0_4p5_M1	0	4.5	M1
74	277DthrABCDasdDlysA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysA_0_6_M1	0	6	M1
75	277DthrABCDasdDlysA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysA_0_12_M1	0	12	M1
76	277DthrABCDasdDlysA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysA_0_24_M1	0	24	M1
77	277DthrABCDasdDlysA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysA_I_4p5_M1	I	4.5	M1
78	277DthrABCDasdDlysA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysA_I_6_M1	I	6	M1
79	277DthrABCDasdDlysA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysA_I_12_M1	I	12	M1
80	277DthrABCDasdDlysA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysA_I_24_M1	I	24	M1
81	277DthrABCDasdDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysC_0_4p5_M1	0	4.5	M1
82	277DthrABCDasdDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysC_0_6_M1	0	6	M1
83	277DthrABCDasdDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysC_0_12_M1	0	12	M1
84	277DthrABCDasdDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysC_0_24_M1	0	24	M1
85	277DthrABCDasdDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysC_I_4p5_M1	I	4.5	M1
86	277DthrABCDasdDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysC_I_6_M1	I	6	M1
87	277DthrABCDasdDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysC_I_12_M1	I	12	M1
88	277DthrABCDasdDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DlysC_I_24_M1	I	24	M1
89	277DthrABCDasdDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DrhtA_0_4p5_M1	0	4.5	M1
90	277DthrABCDasdDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DrhtA_0_6_M1	0	6	M1
91	277DthrABCDasdDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DrhtA_0_12_M1	0	12	M1
92	277DthrABCDasdDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DrhtA_0_24_M1	0	24	M1
93	277DthrABCDasdDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DrhtA_I_4p5_M1	I	4.5	M1
94	277DthrABCDasdDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DrhtA_I_6_M1	I	6	M1
95	277DthrABCDasdDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DrhtA_I_12_M1	I	12	M1
96	277DthrABCDasdDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DrhtA_I_24_M1	I	24	M1
97	277DthrABCDasdDtdh pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_Dtdh_0_4p5_M1	0	4.5	M1
98	277DthrABCDasdDtdh pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_Dtdh_0_6_M1	0	6	M1
99	277DthrABCDasdDtdh pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_Dtdh_0_12_M1	0	12	M1
100	277DthrABCDasdDtdh pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_Dtdh_0_24_M1	0	24	M1
101	277DthrABCDasdDtdh pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_Dtdh_I_4p5_M1	I	4.5	M1
102	277DthrABCDasdDtdh pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_Dtdh_I_6_M1	I	6	M1
103	277DthrABCDasdDtdh pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_Dtdh_I_12_M1	I	12	M1
104	277DthrABCDasdDtdh pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_Dtdh_I_24_M1	I	24	M1
105	277DthrABCDasdDtdhDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDdapA_0_4p5_M1	0	4.5	M1
106	277DthrABCDasdDtdhDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDdapA_0_6_M1	0	6	M1
107	277DthrABCDasdDtdhDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDdapA_0_12_M1	0	12	M1
108	277DthrABCDasdDtdhDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDdapA_0_24_M1	0	24	M1
